LAXVEN speed Recorder File: 00022757000.ShortTerm Internal
Data Displayed     From     .86  -  1667Km    TO   19/03/25 07:18:36-127Km
0-Mem freez,1-PowerOn,2-DownLoad,3-MemErase,4-No CFCard,5-ExtMemFail,7-Sensor1Fail,8-Sensor2Fail
,9-ZeroSpeed,A-No Indi/Rec ,B-No Mem ,C-MemFull,D-110% Relay,E-105% Relay,F-OverSpeed,G-<3 Relay,H-CF Inserted,X-Unused
  Time	Distance	Speed	DB	DB	Coas	Coas	EventGn	RunE	StpE	TotE	CumEnry	Curr	Vol	 PF 
	Km	Km/hr	km	Sec	Km	Sec	---	 KWH 	 KWH 	 KWH 	 KWH 	Amp	KV	---
 19/03/25 15:15:45	7630.44	1	----	----	0	0	1G	21428.3	282.1	21710.4	116726.5	4	27.1	0.52
 19/03/25 15:15:46	7630.44	0	----	----	----	----	9G	21428.3	282.1	21710.4	116726.5	4	27	0.51
 19/03/25 15:57:49	7630.442	1	----	----	----	----	G	21452.4	306.2	21758.6	116750.6	13	26.3	0.55
 19/03/25 15:57:50	7630.442	1	----	----	----	----	G	21452.5	306.2	21758.7	116750.7	19	25.9	0.61
 19/03/25 15:57:51	7630.443	2	----	----	----	----	G	21452.6	306.2	21758.8	116750.8	19	25.9	0.56
 19/03/25 15:57:52	7630.443	2	----	----	----	----	G	21452.7	306.2	21758.9	116750.9	23	25.8	0.59
 19/03/25 15:57:53	7630.444	3	----	----	----	----	---------	21452.8	306.2	21759	116751	23	25.8	0.57
 19/03/25 15:57:54	7630.445	3	----	----	----	----	---------	21452.9	306.2	21759.1	116751.1	22	25.8	0.58
 19/03/25 15:57:55	7630.446	3	----	----	----	----	---------	21453	306.2	21759.2	116751.2	22	25.8	0.6
 19/03/25 15:57:56	7630.448	4	----	----	----	----	---------	21453	306.2	21759.2	116751.2	21	25.8	0.6
 19/03/25 15:57:57	7630.449	4	----	----	----	----	---------	21453.1	306.2	21759.3	116751.3	21	25.8	0.62
 19/03/25 15:57:58	7630.45	4	----	----	----	----	---------	21453.2	306.2	21759.4	116751.4	20	25.9	0.62
 19/03/25 15:57:59	7630.452	5	----	----	----	----	---------	21453.3	306.2	21759.5	116751.5	20	25.9	0.63
 19/03/25 15:58:00	7630.453	5	----	----	----	----	---------	21453.4	306.2	21759.6	116751.6	20	25.9	0.64
 19/03/25 15:58:01	7630.455	6	----	----	----	----	---------	21453.5	306.2	21759.7	116751.7	19	26	0.64
 19/03/25 15:58:02	7630.457	6	----	----	----	----	---------	21453.6	306.2	21759.8	116751.8	19	26	0.65
 19/03/25 15:58:03	7630.458	6	----	----	----	----	---------	21453.7	306.2	21759.9	116751.9	19	26.1	0.65
 19/03/25 15:58:04	7630.46	6	----	----	----	----	---------	21453.8	306.2	21760	116752	18	26.1	0.66
 19/03/25 15:58:05	7630.462	7	----	----	----	----	---------	21453.8	306.2	21760	116752	18	26.2	0.67
 19/03/25 15:58:06	7630.464	7	----	----	----	----	---------	21453.9	306.2	21760.1	116752.1	18	26	0.67
 19/03/25 15:58:07	7630.466	7	----	----	----	----	---------	21454	306.2	21760.2	116752.2	18	26.1	0.67
 19/03/25 15:58:08	7630.468	7	----	----	----	----	---------	21454.1	306.2	21760.3	116752.3	17	26	0.68
 19/03/25 15:58:09	7630.471	8	----	----	----	----	---------	21454.2	306.2	21760.4	116752.4	17	26.1	0.68
 19/03/25 15:58:10	7630.473	7	----	----	----	----	---------	21454.3	306.2	21760.5	116752.5	18	26.2	0.7
 19/03/25 15:58:11	7630.475	8	----	----	----	----	---------	21454.4	306.2	21760.6	116752.6	17	26.3	0.68
 19/03/25 15:58:12	7630.477	8	----	----	----	----	---------	21454.5	306.2	21760.7	116752.7	17	26.3	0.69
 19/03/25 15:58:13	7630.48	8	----	----	----	----	---------	21454.5	306.2	21760.7	116752.7	17	26.1	0.69
 19/03/25 15:58:14	7630.482	8	----	----	----	----	---------	21454.6	306.2	21760.8	116752.8	17	26.3	0.7
 19/03/25 15:58:15	7630.485	9	----	----	----	----	---------	21454.7	306.2	21760.9	116752.9	19	26.1	0.7
 19/03/25 15:58:16	7630.487	9	----	----	----	----	---------	21454.8	306.2	21761	116753	17	26.1	0.7
 19/03/25 15:58:17	7630.49	9	----	----	----	----	---------	21454.9	306.2	21761.1	116753.1	17	26.1	0.71
 19/03/25 15:58:18	7630.493	9	----	----	----	----	---------	21455	306.2	21761.2	116753.2	17	25.9	0.71
 19/03/25 15:58:19	7630.495	9	----	----	----	----	---------	21455.1	306.2	21761.3	116753.3	17	26.1	0.71
 19/03/25 15:58:20	7630.498	10	----	----	----	----	---------	21455.2	306.2	21761.4	116753.4	17	26.3	0.71
 19/03/25 15:58:21	7630.501	9	----	----	----	----	---------	21455.2	306.2	21761.4	116753.4	16	26.1	0.72
 19/03/25 15:58:22	7630.504	10	----	----	----	----	---------	21455.3	306.2	21761.5	116753.5	16	26.2	0.71
