   Medha Speed Time Distance Recording System Type MRT 922
                    Long  Term Digital Report       Recorder Sl.No  2222
___________________________________________________________________________________________________________________________________________________________
Filename           :CMLM438             Locono  : 039027       FileSave Date : 23-05-2023
Userfilename       :                                   FileSave Time : 03:36:10 PM
Start Date , Time  :02/05/23  03:15:12  End Date , Time : 06/05/23   13:22:21
Shedname           :BRCY              Start Dist   : 0  End Dist : 2787.217
PC Software        :Msw 922 Ver 1.0
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
Driver ID :2165 GGC          Train No: 19020            Locono : 39027  Spd Limit :140 Kmph   Wheel Dia :1037 mm 
02/05/23 | 03:15:12 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | STOP                      
02/05/23 | 03:15:38 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:16:08 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:16:38 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:17:08 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:17:38 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:18:08 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:18:38 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:19:08 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:19:38 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:20:08 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:20:38 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:21:08 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:21:38 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:22:08 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:22:38 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
Driver ID :KOTA1341          Train No: 19020            Locono : 39027  Spd Limit :140 Kmph   Wheel Dia :1037 mm 
02/05/23 | 03:23:08 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:23:38 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:24:08 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
