     Medha Speed Time Distance Recording System Type MRT 918 
                    Short Term Digital Report       
________________________________________________________________________________________________
Filename           :CMSM5               Locono  : 013324       FileSave Date : 02-04-2025
Userfilename       :                    LocoType :WDM3A        FileSave Time : 09:48:20 AM
Shedname           :BA                              
Start Date , Time  :30/03/25  05:30:00  End Date , Time : 30/03/25   11:47:33
PC Software        :MSW 918 Ver 5.2
______________________________________________________________________________________________________________
 Date      Time      Inst  Inst Dist.  Cum. Coasting        Cum. DB       MOT      DB      TE       Remarks
                     Kmph   Mtrs      Kms          Secs      Secs
_______________________________________________________________________________________________________________
Driver ID :NDB1327           Train No: RAILSPL  Locono : 13324  Speed Limit :100 Kmph   Wheel Dia :1060 mm 
29/03/25 | 17:46:59 | 000 | 0000 | 0000.000   |    0000   |    0000   |    No   |  Off  |  Off  |  STOP                      
30/03/25 | 05:31:13 | 000 | 0000 | 0000.000   |    0000   |    0000   |    No   |  Off  |  Off  |  START                     
30/03/25 | 05:31:14 | 000 | 0000 | 0000.000   |    0000   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:14 | 000 | 0000 | 0000.000   |    0000   |    0000   |    No   |  Off  |  Off  |  STOP                      
30/03/25 | 05:31:15 | 000 | 0000 | 0000.000   |    0000   |    0000   |    No   |  Off  |  Off  |  START                     
30/03/25 | 05:31:16 | 000 | 0000 | 0000.000   |    0000   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:17 | 001 | 0000 | 0000.000   |    0001   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:18 | 001 | 0000 | 0000.000   |    0002   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:19 | 001 | 0000 | 0000.000   |    0003   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:20 | 001 | 0001 | 0000.001   |    0004   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:21 | 001 | 0000 | 0000.001   |    0005   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:22 | 001 | 0000 | 0000.001   |    0006   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:23 | 002 | 0001 | 0000.002   |    0007   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:24 | 002 | 0000 | 0000.002   |    0008   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:25 | 003 | 0001 | 0000.003   |    0009   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:26 | 004 | 0001 | 0000.004   |    0010   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:27 | 005 | 0001 | 0000.005   |    0011   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:28 | 006 | 0002 | 0000.007   |    0012   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:29 | 006 | 0002 | 0000.009   |    0013   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:30 | 006 | 0001 | 0000.010   |    0014   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:31 | 005 | 0002 | 0000.012   |    0015   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:32 | 005 | 0001 | 0000.013   |    0016   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:33 | 005 | 0002 | 0000.015   |    0017   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:34 | 004 | 0001 | 0000.016   |    0018   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:35 | 003 | 0001 | 0000.017   |    0019   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:36 | 003 | 0001 | 0000.018   |    0020   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:37 | 002 | 0000 | 0000.018   |    0021   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:38 | 002 | 0001 | 0000.019   |    0022   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:39 | 001 | 0000 | 0000.019   |    0023   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:40 | 001 | 0000 | 0000.019   |    0023   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:40 | 000 | 0000 | 0000.019   |    0023   |    0000   |    No   |  Off  |  Off  |  STOP                      
30/03/25 | 05:31:52 | 000 | 0000 | 0000.019   |    0023   |    0000   |    No   |  Off  |  Off  |  START                     
30/03/25 | 05:31:53 | 001 | 0000 | 0000.019   |    0024   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:54 | 001 | 0001 | 0000.020   |    0025   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:55 | 001 | 0000 | 0000.020   |    0026   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:56 | 001 | 0000 | 0000.020   |    0027   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:57 | 002 | 0001 | 0000.021   |    0028   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:58 | 002 | 0000 | 0000.021   |    0029   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:31:59 | 002 | 0001 | 0000.022   |    0030   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:32:00 | 003 | 0001 | 0000.023   |    0031   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:32:01 | 003 | 0001 | 0000.024   |    0032   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:32:02 | 004 | 0001 | 0000.025   |    0033   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:32:03 | 004 | 0001 | 0000.026   |    0034   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:32:04 | 005 | 0001 | 0000.027   |    0035   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:32:05 | 006 | 0002 | 0000.029   |    0036   |    0000   |    No   |  Off  |  Off  |                            
30/03/25 | 05:32:06 | 007 | 0002 | 0000.031   |    0037   |    0000   |    No   |  Off  |  Off  |                            
