   Medha Speed Time Distance Recording System Type MRT 922
                    Long  Term Digital Report       Recorder Sl.No  4105
___________________________________________________________________________________________________________________________________________________________
Filename           :CMLM441             Locono  : 037341       FileSave Date : 23-05-2023
Userfilename       :37341                              FileSave Time : 03:36:56 PM
Start Date , Time  :19/05/23  16:05:02  End Date , Time : 23/05/23   10:13:30
Shedname           :BRC               Start Dist   : 0  End Dist : 599.395
PC Software        :Msw 922 Ver 1.0
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
Driver ID :BRC1173           Train No: 22960            Locono : 37341  Spd Limit :140 Kmph   Wheel Dia :1068 mm 
19/05/23 | 16:05:02 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power ON                  
19/05/23 | 16:05:28 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 16:05:58 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
10/11/16 | 00:00:00 | 251 | 0000 | On  | On  | On  | On  | On  | On  | On  | On  | Power ON                  
19/05/23 | 17:00:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | STOP &M.Freeze END &      
19/05/23 | 17:00:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:01:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:01:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:02:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:02:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:03:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:03:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:04:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:04:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:05:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:05:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:06:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:06:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:07:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:07:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:08:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:08:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:09:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:09:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:10:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:10:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:11:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:11:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:12:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:12:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:13:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:13:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
